LOAD NO.,CONTAINER NO.,SIZE,SSL,TERMINAL,EXPORT BOOKING NO.,ETA,LFD,CUSTOMS,FREIGHT,PICK-UP STATUS,GATE OUT DATE,EST. DELIVERY DATE,ACTUAL DELIVERY DATE,EMPTY READY FOR P/U,EMPTY RETURN P/U,DELIVERY LOCATION,CUSTOMER,CC,NOTES
1101,UETU5215831,40HC,COSU,MAHER,,11/17/2021,,,,RETURNED,11/24/2021,11/29/2021,11/29/2021,,11/30/2021,"SADDLE BROOK, NJ",MG,VH,
1119,TCLU2177797,20ST,CMA-CGM,MAHER,,11/11/2021,,RELEASED,RELEASED,RETURNED,11/26/2021,11/29/2021,11/29/2021,,12/1/2021,"AVENEL, NJ",AF,VH,
1126,TEMU0648597,20DR,ONE,GLOBAL (GCT),,10/14/2021,10/25/2021,RELEASED,RELEASED,RETURNED,10/22/2021,,10/28/2021,,10/29/2021,"AVENEL, NJ",MG,AS,
1127,KKTU7956475,20DR,ONE,GLOBAL (GCT),,10/14/2021,10/25/2021,RELEASED,RELEASED,RETURNED,10/25/2021,,10/25/2021,,10/26/2021,"AVENEL, NJ",MG,AS,
1128,TCLU3185204,20DR,ONE,GLOBAL (GCT),,10/14/2021,10/25/2021,RELEASED,RELEASED,RETURNED,10/22/2021,,10/22/2021,,10/27/2021,"AVENEL, NJ",MG,AS,
1129,TEMU0767549,20DR,ONE,GLOBAL (GCT),,10/14/2021,10/25/2021,RELEASED,RELEASED,RETURNED,10/22/2021,,10/27/2021,,10/28/2021,"AVENEL, NJ",MG,AS,
1130,JXLU7837391,40HC,ZIM,PNCT,,10/18/2021,10/25/2021,RELEASED,RELEASED,RETURNED,10/23/2021,,10/28/2021,,10/29/2021,"SADDLE BROOK, NJ",MG,AS,
1131,CSNU6146754,40HC,COSU,MAHER,,10/18/2021,10/22/2021,RELEASED,RELEASED,RETURNED,10/22/2021,,10/23/2021,,10/26/2021,"AVENEL, NJ",MG,AS,
1132,BMOU5183436,40HC,COSU,MAHER,,10/18/2021,10/21/2021,RELEASED,RELEASED,RETURNED,10/21/2021,,10/25/2021,,10/28/2021,"SADDLE BROOK, NJ",MG,AS,
1133,CSNU1240367,20DR,COSU,MAHER,,10/18/2021,10/22/2021,RELEASED,RELEASED,RETURNED,10/22/2021,,10/27/2021,,10/27/2021,"AVENEL, NJ",MG,AS,
1134,UETU2560670,20DR,COSU,MAHER,,10/18/2021,10/22/2021,RELEASED,RELEASED,RETURNED,10/22/2021,,10/25/2021,,10/29/2021,"AVENEL, NJ",MG,AS,
1135,NYKU3223619,20DR,ONE,GLOBAL (GCT),,10/20/2021,10/26/2021,RELEASED,RELEASED,RETURNED,10/26/2021,,10/26/2021,,10/30/2021,"AVENEL, NJ",MG,AS,
1136,CMAU2100528,20DR,CMA-CGM,MAHER,,10/21/2021,11/2/2021,RELEASED,RELEASED,EMPTY,11/2/2021,11/2/2021,11/2/2021,,,"AVENEL, NJ",MG,AS,
